naslov,leto,oskar,stevilo
Roma,2018,TRUE,3
Black Panther,2018,FALSE,4
Black Panther,2018,TRUE,3
The Favourite,2018,FALSE,9
The Favourite,2018,TRUE,1
A Star Is Born,2018,FALSE,7
A Star Is Born,2018,TRUE,1
Vice,2018,FALSE,7
Vice,2018,TRUE,1
BlacKkKlansman,2018,FALSE,5
BlacKkKlansman,2018,TRUE,1
First Man,2018,FALSE,3
First Man,2018,TRUE,1
If Beale Street Could Talk,2018,FALSE,2
If Beale Street Could Talk,2018,TRUE,1
Bao,2018,FALSE,0
Bao,2018,TRUE,1
Free Solo,2018,FALSE,0
Free Solo,2018,TRUE,1
Period. End of Sentence.,2018,FALSE,0
Period. End of Sentence.,2018,TRUE,1
Skin,2018,FALSE,0
Skin,2018,TRUE,1
Spider-Man: Into the Spider-Verse,2018,FALSE,0
Spider-Man: Into the Spider-Verse,2018,TRUE,1
The Shape of Water,2017,FALSE,9
The Shape of Water,2017,TRUE,4
Dunkirk,2017,FALSE,5
Dunkirk,2017,TRUE,3
"Three Billboards Outside Ebbing, Missouri",2017,FALSE,5
"Three Billboards Outside Ebbing, Missouri",2017,TRUE,2
Darkest Hour,2017,FALSE,4
Darkest Hour,2017,TRUE,2
Blade Runner 2049,2017,FALSE,3
Blade Runner 2049,2017,TRUE,2
Coco,2017,FALSE,0
Coco,2017,TRUE,2
Phantom Thread,2017,FALSE,5
Phantom Thread,2017,TRUE,1
Call Me by Your Name,2017,FALSE,3
Call Me by Your Name,2017,TRUE,1
Get Out,2017,FALSE,3
Get Out,2017,TRUE,1
"I, Tonya",2017,FALSE,2
"I, Tonya",2017,TRUE,1
Dear Basketball,2017,FALSE,0
Dear Basketball,2017,TRUE,1
A Fantastic Woman,2017,FALSE,0
A Fantastic Woman,2017,TRUE,1
Heaven Is a Traffic Jam on the 405,2017,FALSE,0
Heaven Is a Traffic Jam on the 405,2017,TRUE,1
Icarus,2017,FALSE,0
Icarus,2017,TRUE,1
The Silent Child,2017,FALSE,0
The Silent Child,2017,TRUE,1
Moonlight,2016,FALSE,5
Moonlight,2016,TRUE,3
La La Land,2016,FALSE,8
La La Land,2016,TRUE,6
Hacksaw Ridge,2016,FALSE,4
Hacksaw Ridge,2016,TRUE,2
Manchester by the Sea,2016,FALSE,4
Manchester by the Sea,2016,TRUE,2
Arrival,2016,FALSE,7
Arrival,2016,TRUE,1
Fences,2016,FALSE,3
Fences,2016,TRUE,1
Fantastic Beasts and Where to Find Them,2016,FALSE,1
Fantastic Beasts and Where to Find Them,2016,TRUE,1
The Jungle Book,2016,FALSE,0
The Jungle Book,2016,TRUE,1
O.J.: Made in America,2016,FALSE,0
O.J.: Made in America,2016,TRUE,1
Piper,2016,FALSE,0
Piper,2016,TRUE,1
The Salesman,2016,FALSE,0
The Salesman,2016,TRUE,1
Sing,2016,FALSE,0
Sing,2016,TRUE,1
Suicide Squad,2016,FALSE,0
Suicide Squad,2016,TRUE,1
The White Helmets,2016,FALSE,0
The White Helmets,2016,TRUE,1
Zootopia,2016,FALSE,0
Zootopia,2016,TRUE,1
Spotlight,2015,FALSE,4
Spotlight,2015,TRUE,2
Mad Max: Fury Road,2015,FALSE,4
Mad Max: Fury Road,2015,TRUE,6
The Revenant,2015,FALSE,9
The Revenant,2015,TRUE,3
Bridge of Spies,2015,FALSE,5
Bridge of Spies,2015,TRUE,1
The Big Short,2015,FALSE,4
The Big Short,2015,TRUE,1
The Danish Girl,2015,FALSE,3
The Danish Girl,2015,TRUE,1
Room,2015,FALSE,3
Room,2015,TRUE,1
The Hateful Eight,2015,FALSE,2
The Hateful Eight,2015,TRUE,1
Ex Machina,2015,FALSE,1
Ex Machina,2015,TRUE,1
Inside Out,2015,FALSE,1
Inside Out,2015,TRUE,1
Amy,2015,FALSE,0
Amy,2015,TRUE,1
Bear Story,2015,FALSE,0
Bear Story,2015,TRUE,1
A Girl in the River: The Price of Forgiveness,2015,FALSE,0
