naslov,leto,oskar,stevilo
An Inconvenient Truth,2006,True,2
An Irish Goodbye,2022,False,0
An Irish Goodbye,2022,True,1
An Occurrence at Owl Creek Bridge,1963,False,0
An Occurrence at Owl Creek Bridge,1963,True,1
An Officer and a Gentleman,1982,False,4
An Officer and a Gentleman,1982,True,2
Anastasia,1956,False,1
Anastasia,1956,True,1
Anatomy of a Fall,2023,False,4
Anatomy of a Fall,2023,True,1
Anchors Aweigh,1945,False,4
Anchors Aweigh,1945,True,1
Angel and Big Joe,1975,False,0
Angel and Big Joe,1975,True,1
Anna & Bella,1985,False,0
Anna & Bella,1985,True,1
Anna Karenina,2012,False,3
Anna Karenina,2012,True,1
Anna and the King of Siam,1946,False,3
Anna and the King of Siam,1946,True,2
Anne Frank Remembered,1995,False,0
Anne Frank Remembered,1995,True,1
Anne of the Thousand Days,1969,False,9
Anne of the Thousand Days,1969,True,1
Annie Get Your Gun,1950,False,3
Annie Get Your Gun,1950,True,1
Annie Hall,1977,False,1
Annie Hall,1977,True,4
Another Round,2020,False,1
Another Round,2020,True,1
Anthony Adverse,1936,False,3
Anthony Adverse,1936,True,4
Antonia's Line,1995,False,0
Antonia's Line,1995,True,1
Apocalypse Now,1979,False,6
Apocalypse Now,1979,True,2
Apollo 13,1995,False,7
Apollo 13,1995,True,2
Aquatic House Party,1949,False,0
Aquatic House Party,1949,True,1
Argo,2012,False,4
Argo,2012,True,3
"Arise, My Love",1940,False,3
"Arise, My Love",1940,True,1
Around the World in 80 Days,1956,False,3
Around the World in 80 Days,1956,True,5
Arrival,2016,False,7
Arrival,2016,True,1
Arthur,1981,False,2
Arthur,1981,True,2
Arthur Rubinstein – The Love of Life,1969,False,0
Arthur Rubinstein – The Love of Life,1969,True,1
Artie Shaw: Time Is All You've Got,1986,False,0
Artie Shaw: Time Is All You've Got,1986,True,1
As Good as It Gets,1997,False,5
As Good as It Gets,1997,True,2
Atonement,2007,False,6
Atonement,2007,True,1
Avatar,2009,False,6
Avatar,2009,True,3
Avatar: The Way of Water,2022,False,3
Avatar: The Way of Water,2022,True,1
BUtterfield 8,1960,False,1
BUtterfield 8,1960,True,1
Babe,1995,False,6
Babe,1995,True,1
Babel,2006,False,6
Babel,2006,True,1
Babette's Feast,1987,False,0
Babette's Feast,1987,True,1
Back to the Future,1985,False,3
Back to the Future,1985,True,1
Bad Girl,1931,False,1
Bad Girl,1931,True,2
Balance,1989,False,0
Balance,1989,True,1
Bao,2018,False,0
Bao,2018,True,1
Barbie,2023,False,7
Barbie,2023,True,1
Barry Lyndon,1975,False,3
Barry Lyndon,1975,True,4
Batman,1989,False,0
Batman,1989,True,1
Battleground,1949,False,4
Battleground,1949,True,2
Bear Country,1953,False,0
Bear Country,1953,True,1
Bear Story,2015,False,0
Bear Story,2015,True,1
Beauty and the Beast,1991,False,4
Beauty and the Beast,1991,True,2
Becket,1964,False,11
Becket,1964,True,1
Bedknobs and Broomsticks,1971,False,4
Bedknobs and Broomsticks,1971,True,1
Beetlejuice,1988,False,0
Beetlejuice,1988,True,1
Beginners,2011,False,0
Beginners,2011,True,1
Being There,1979,False,1
Being There,1979,True,1
Belfast,2021,False,6
Belfast,2021,True,1
Belle Epoque,1993,False,0
