naslov_nom,naslov_orig,leto,zap_st_podelitev,kategorija,drzava,jezik
Pan's Labyrinth,El laberinto del fauno,2006,79,Makeup,Spain,Spanish
Parasite,기생충,2019,92,Director,South Korea,Korean
Parasite,기생충,2019,92,Original Screenplay,South Korea,Korean
Parasite,기생충,2019,92,Picture,South Korea,Korean
RRR,RRR,2022,95,Music,India,English
RRR,RRR,2022,95,Music,India,Telugu
Ran,乱,1985,58,Costume Design,Japan,Japanese
Roma,Roma,2018,91,Cinematography,Mexico,Mixtec
Roma,Roma,2018,91,Cinematography,Mexico,Spanish
Roma,Roma,2018,91,Director,Mexico,Mixtec
Roma,Roma,2018,91,Director,Mexico,Spanish
Serengeti Shall Not Die,Serengeti darf nicht sterben,1959,32,Documentary Feature,Germany,German
Talk to Her,Hable con ella,2002,75,Writing,Spain,Spanish
The Artist,The Artist,2011,84,Actor in a Leading Role,France,Silent film
The Artist,The Artist,2011,84,Costume Design,France,Silent film
The Artist,The Artist,2011,84,Director,France,Silent film
The Artist,The Artist,2011,84,Music,France,Silent film
The Artist,The Artist,2011,84,Picture,France,Silent film
The Boy and the Heron,Kimitachi wa Dō Ikiru ka 君たちはどう生きるか,2023,96,Animated Feature,Japan,Japanese
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Brazil,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Argentina,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Chile,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,France,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Germany,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Peru,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,United Kingdom,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,United States,Quechua
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Brazil,Spanish
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Argentina,Spanish
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Chile,Spanish
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,France,Spanish
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Germany,Spanish
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,Peru,Spanish
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,United Kingdom,Spanish
The Motorcycle Diaries,Diarios de motocicleta,2004,77,Music,United States,Spanish
The Postman,Il postino,1995,68,Music,Italy,Italian
The Postman,Il postino,1995,68,Music,Italy,Spanish
The Red Balloon,Le ballon rouge,1956,29,Writing,France,French
The Zone of Interest,The Zone of Interest,2023,96,Sound,United Kingdom,German
Z,Z,1969,42,Film Editing,Algeria,French
